Date,Algorithm,ArraySizeA,ArraySizeB,AvgTime,Speedup,MaxCPUs,L1CacheSize,L2CacheSize,L3CacheSize,CacheLineLength,BlockSize,NumRuns
2025-04-22 17:15:44,MM-Simple,1024,2048,6639713720,1,32,32768,1048576,33554432,64,,10
2025-04-22 17:16:06,MM-CacheAware,1024,2048,2171720430,3.057351963116173,32,32768,1048576,33554432,64,64KB,10
2025-04-22 17:16:28,MM-CacheAware,1024,2048,2208844850,3.005966544006022,32,32768,1048576,33554432,64,1MB,10
2025-04-22 17:16:50,MM-CacheAware,1024,2048,2156526270,3.078893038478961,32,32768,1048576,33554432,64,32MB,10
2025-04-22 17:16:50,MS-Seq,1024,,2156526270,1,32,32768,1048576,33554432,64,,10
2025-04-22 17:16:50,MS-Par,1024,,0,+Inf,32,32768,1048576,33554432,64,,10
2025-04-22 17:16:51,MS-PMerge,1024,,822660,0.12244426616098995,32,32768,1048576,33554432,64,,10
2025-04-22 17:20:51,MM-Simple,1024,2000,6394716180,1,32,32768,1048576,33554432,64,,10
2025-04-22 17:21:12,MM-CacheAware,1024,2000,2110089900,3.030542054156081,32,32768,1048576,33554432,64,60KB,10
2025-04-22 17:21:34,MM-CacheAware,1024,2000,2110029570,3.030628703464094,32,32768,1048576,33554432,64,64KB,10
2025-04-22 17:21:55,MM-CacheAware,1024,2000,2141662040,2.985866145341961,32,32768,1048576,33554432,64,1000KB,10
2025-04-22 17:22:16,MM-CacheAware,1024,2000,2138906930,2.9897122171650543,32,32768,1048576,33554432,64,1MB,10
2025-04-22 17:22:37,MM-CacheAware,1024,2000,2103093860,3.0406232939123314,32,32768,1048576,33554432,64,30MB,10
2025-04-22 17:22:58,MM-CacheAware,1024,2000,2096355160,3.0503973286663886,32,32768,1048576,33554432,64,32MB,10
2025-04-22 17:22:58,MS-Seq,1024,,2096355160,1,32,32768,1048576,33554432,64,,10
2025-04-22 17:22:58,MS-Par,1024,,0,+Inf,32,32768,1048576,33554432,64,,10
2025-04-22 17:23:00,MS-PMerge,1024,,752280,0.13290264263306215,32,32768,1048576,33554432,64,,10
2025-04-22 17:30:15,MM-Simple,1024,2000,6375021852,1,32,32768,1048576,33554432,64,,25
2025-04-22 17:31:07,MM-CacheAware,1024,2000,2103108908,3.0312371497976653,32,32768,1048576,33554432,64,60KB,25
2025-04-22 17:32:00,MM-CacheAware,1024,2000,2100798084,3.0345714329012115,32,32768,1048576,33554432,64,64KB,25
2025-04-22 17:32:53,MM-CacheAware,1024,2000,2137943584,2.9818475565536717,32,32768,1048576,33554432,64,1000KB,25
2025-04-22 17:33:47,MM-CacheAware,1024,2000,2144226848,2.973109798502066,32,32768,1048576,33554432,64,1MB,25
2025-04-22 17:34:39,MM-CacheAware,1024,2000,2087828244,3.05342255538526,32,32768,1048576,33554432,64,30MB,25
2025-04-22 17:35:31,MM-CacheAware,1024,2000,2089589500,3.050848911712085,32,32768,1048576,33554432,64,32MB,25
2025-04-22 17:35:31,MS-Seq,1024,,2089589500,1,32,32768,1048576,33554432,64,,25
2025-04-22 17:35:31,MS-Par,1024,,39984,1.50250100040016,32,32768,1048576,33554432,64,,25
2025-04-22 17:35:33,MS-PMerge,1024,,748020,0.08031336060533141,32,32768,1048576,33554432,64,,25
